Stakeholder,Detailed Description,RevenuesInMillion,RevenueChange,ProfitsInMillon,AssetsInMillion,ProfitChange,TotalEmployees,MetaIndustry,MetaPreviousRank,MetaRank,CEO,Sector,Industry,LocationHeadquater,WebsiteURL,YearsOnGlobal500List,TotalStakeholderEquity,ProfitAsPercentageRevenue,ProfitAsPercentageAsset,ProfitAsPercentageStockHolderEquity
Walmart,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores.",485873,0.8,13643,198825,-7.2,2300000,General Merchandisers,1,1,C. Douglas McMillon,Wholesalers & Retailers,General Merchandisers,"Bentonville, AR",http://www.walmart.com,23,77798,77798,6.9,17.5
State Grid,"The State Grid Corporation of China, commonly known as the State Grid, is the state-owned electric utility monopoly of China. It is the largest utility company in the world, and as of 2018, the world's second largest company overall by revenue.",315199,-4.4,9571.3,489838,-6.2,926067,Utilities,2,2,Kou Wei,Energy,Utilities,"Beijing, China",http://www.sgcc.com.cn,17,209456,209456,2,4.6
McKesson,"McKesson Corporation is an American company distributing pharmaceuticals and providing health information technology, medical supplies, and care management tools. The company had revenues of $198.5 billion in 2017.",198533,3.1,5070,60969,124.5,64500,Wholesalers: Health Care,12,11,John H. Hammergren,Wholesalers & Retailers,Wholesalers: Health Care,"San Francisco, CA",http://www.mckesson.com,23,11095,11095,8.3,45.7
China South Industries Group,"The China Ordnance Equipment Group Corporation, also known as China South Industries Group Corporation is a Chinese manufacturer of automobiles, motorcycles, firearms, vehicle components, and optical-electronic products and other special products domestically and internationally.",71151,1.5,580.3,51857,-61,232817,Aerospace and Defense,102,101,Xu Liuping,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.chinasouth.com.cn,8,7508,7508,1.1,7.7
Lukoil,"The PJSC Lukoil Oil Company is a Russian multinational energy corporation headquartered in Moscow, specializing in the business of extraction, production, transport, and sale of petroleum, natural gas, and petroleum products.",70897,-16.3,3090.6,82179,-35.1,105500,Petroleum Refining,76,102,Vagit Y. Alekperov,Energy,Petroleum Refining,"Moscow, Russia",http://www.lukoil.com,18,52783,52783,3.8,5.9
China Communications Construction,"China Communications Construction Company, Ltd. is a publicly-traded, multinational engineering and construction company primarily engaged in the design, construction and operation of infrastructure assets, including highways, bridges, tunnels, railways, subways, airports, and marine ports.",70751,4.4,1431.3,146763,-16.2,152666,"Engineering, Construction",110,103,Liu Qitao,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.ccccltd.cn,10,14824,14824,1,9.7
Groupe BPCE,"Groupe BPCE is a French banking group, formed by the 2009 merger of CNCE and BFBP, has more than 8,200 branches nationwide under their respective brand names serving nearly 40 million customers.",70517,25.5,4410.1,1302721,22.6,102827,Banks: Commercial and Savings,155,104,Francois Perol,Financial Sector,Banks: Commercial and Savings,"Paris, France",http://www.groupebpce.fr,8,64820,64820,0.3,6.8
Sony,"Sony Corporation is a Japanese multinational conglomerate corporation headquartered in Konan, Minato, Tokyo. Its diversified business includes consumer and professional electronics, gaming, entertainment and financial services.",70170,3.9,676.4,158519,-45.1,128400,"Electronics, Electrical Equip.",113,105,Kazuo Hirai,Technology,"Electronics, Electrical Equip.","Tokyo, Japan",http://www.sony.net,23,22415,22415,0.4,3
Valero Energy,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",70166,-14.2,2289,46173,-42.6,9996,Petroleum Refining,83,106,Joseph W. Gorder,Energy,Petroleum Refining,"San Antonio, TX",http://www.valero.com,17,20024,20024,5,11.4
Target,"Target Corporation is the eighth-largest retailer in the United States, and is a component of the S&amp;P 500 Index. Founded by George Dayton and headquartered in Minneapolis, the company was originally named Goodfellow Dry Goods in June 1902 before being renamed the Dayton's Dry Goods Company in 1903 and later the Dayton Company in 1910.",69495,-5.8,2737,37431,-18.6,323000,General Merchandisers,97,107,Brian C. Cornell,Wholesalers & Retailers,General Merchandisers,"Minneapolis, MN",http://www.target.com,23,10953,10953,7.3,25
Societe Generale,"Societe Generale S.A., often nicknamed ""SocGen"", is a French multinational investment bank and financial services company headquartered in Paris, France",69335,-1.1,4284,1457753,-3.5,151341,Banks: Commercial and Savings,43,108,Frederic Oudea,Financial Sector,Banks: Commercial and Savings,"Paris, France",http://www.societegenerale.com,21,65338,65338,0.3,6.6
